iter	Passed	Remaining
1364	9598	4465
1365	9605	4458
1366	9612	4451
1367	9620	4444
1368	9627	4437
1369	9634	4430
1370	9642	4423
1371	9650	4417
1372	9659	4411
1373	9668	4404
1374	9677	4398
1375	9685	4392
1376	9693	4385
1377	9700	4378
1378	9708	4371
1379	9715	4364
1380	9722	4357
1381	9729	4350
1382	9736	4343
1383	9742	4336
1384	9752	4330
1385	9759	4323
1386	9767	4316
1387	9773	4309
1388	9779	4301
1389	9787	4295
1390	9794	4287
1391	9800	4280
1392	9807	4273
1393	9814	4266
1394	9821	4259
1395	9828	4252
1396	9835	4245
1397	9841	4237
1398	9848	4230
1399	9855	4223
1400	9862	4216
1401	9869	4209
1402	9875	4202
1403	9883	4195
1404	9890	4188
1405	9897	4181
1406	9904	4174
1407	9910	4167
1408	9917	4159
1409	9924	4152
1410	9931	4145
1411	9938	4138
1412	9945	4131
1413	9952	4124
1414	9958	4117
1415	9965	4110
1416	9972	4103
1417	9980	4096
1418	9986	4088
1419	9992	4081
1420	10000	4074
1421	10006	4067
1422	10013	4060
1423	10019	4052
1424	10028	4046
1425	10034	4039
1426	10041	4031
1427	10047	4024
1428	10054	4017
1429	10061	4010
1430	10068	4003
1431	10077	3997
1432	10085	3990
1433	10093	3983
1434	10102	3977
1435	10110	3971
1436	10118	3964
1437	10127	3957
1438	10134	3950
1439	10141	3944
1440	10148	3936
1441	10155	3929
1442	10162	3922
1443	10168	3915
1444	10175	3908
1445	10182	3901
1446	10189	3894
1447	10196	3886
1448	10202	3879
1449	10210	3872
1450	10217	3865
1451	10224	3858
1452	10231	3851
1453	10237	3844
1454	10244	3837
1455	10251	3830
1456	10259	3823
1457	10266	3816
1458	10272	3809
1459	10280	3802
1460	10287	3795
1461	10294	3788
1462	10301	3781
1463	10309	3774
1464	10316	3767
1465	10323	3760
1466	10331	3753
1467	10338	3746
1468	10345	3739
1469	10353	3732
1470	10360	3725
1471	10367	3718
1472	10374	3711
1473	10382	3705
1474	10390	3698
1475	10397	3691
1476	10404	3684
1477	10411	3677
1478	10417	3669
1479	10425	3663
1480	10432	3655
1481	10439	3648
1482	10445	3641
1483	10452	3634
1484	10459	3627
1485	10466	3620
1486	10473	3613
1487	10479	3605
1488	10486	3598
1489	10493	3591
1490	10500	3584
1491	10508	3577
1492	10516	3571
1493	10526	3565
1494	10536	3559
1495	10544	3552
1496	10552	3545
1497	10559	3538
1498	10567	3531
1499	10573	3524
1500	10579	3517
1501	10586	3510
1502	10592	3502
1503	10599	3495
1504	10605	3488
1505	10612	3481
1506	10618	3473
1507	10625	3466
1508	10631	3459
1509	10638	3452
1510	10644	3444
1511	10651	3437
1512	10657	3430
1513	10663	3423
1514	10670	3415
1515	10676	3408
1516	10684	3401
1517	10690	3394
1518	10697	3387
1519	10703	3380
1520	10710	3372
1521	10717	3365
1522	10723	3358
1523	10731	3351
1524	10738	3344
1525	10745	3337
1526	10752	3330
1527	10758	3323
1528	10765	3316
1529	10771	3308
1530	10778	3301
1531	10784	3294
1532	10790	3287
1533	10797	3280
1534	10804	3273
1535	10811	3266
1536	10818	3258
1537	10825	3251
1538	10832	3244
1539	10838	3237
1540	10845	3230
1541	10852	3223
1542	10859	3216
1543	10865	3209
1544	10872	3202
1545	10880	3195
1546	10886	3187
1547	10893	3180
1548	10900	3173
1549	10906	3166
1550	10913	3159
1551	10920	3152
1552	10927	3145
1553	10935	3138
1554	10943	3131
1555	10951	3125
1556	10960	3118
1557	10967	3111
1558	10976	3104
1559	10984	3098
1560	10991	3091
1561	10999	3084
1562	11005	3076
1563	11011	3069
1564	11018	3062
1565	11025	3055
1566	11032	3048
1567	11039	3041
1568	11046	3034
1569	11052	3027
1570	11060	3020
1571	11066	3013
1572	11074	3006
1573	11081	2999
1574	11087	2991
1575	11094	2984
1576	11100	2977
1577	11107	2970
1578	11114	2963
1579	11121	2956
1580	11128	2949
1581	11134	2942
1582	11142	2935
1583	11149	2928
1584	11156	2921
1585	11163	2914
1586	11170	2907
1587	11177	2899
1588	11184	2892
1589	11190	2885
1590	11197	2878
1591	11204	2871
1592	11211	2864
1593	11217	2857
1594	11224	2850
1595	11232	2843
1596	11239	2836
1597	11246	2829
1598	11254	2822
1599	11261	2815
1600	11268	2808
1601	11275	2801
1602	11284	2794
1603	11290	2787
1604	11297	2780
1605	11305	2773
1606	11311	2766
1607	11319	2759
1608	11326	2752
1609	11333	2745
1610	11341	2738
1611	11350	2732
1612	11359	2725
1613	11370	2719
1614	11379	2712
1615	11388	2706
1616	11397	2699
1617	11407	2693
1618	11416	2686
1619	11422	2679
1620	11429	2672
1621	11436	2665
1622	11442	2657
1623	11450	2651
1624	11456	2643
1625	11463	2636
1626	11470	2629
1627	11477	2622
1628	11484	2615
1629	11491	2608
1630	11498	2601
1631	11505	2594
1632	11512	2587
1633	11520	2580
1634	11527	2573
1635	11535	2566
1636	11542	2559
1637	11549	2552
1638	11556	2545
1639	11562	2538
1640	11569	2531
1641	11576	2523
1642	11583	2517
1643	11590	2509
1644	11597	2502
1645	11604	2495
1646	11611	2488
1647	11617	2481
1648	11624	2474
1649	11631	2467
1650	11637	2460
1651	11645	2453
1652	11652	2446
1653	11659	2439
1654	11665	2431
1655	11672	2424
1656	11679	2417
1657	11687	2410
1658	11694	2403
1659	11701	2396
1660	11708	2389
1661	11715	2382
1662	11723	2375
1663	11729	2368
1664	11736	2361
1665	11743	2354
1666	11750	2347
1667	11757	2340
1668	11764	2333
1669	11770	2325
1670	11777	2318
